Cidade,Abacate,Atemóia,Banana,Cajamanga,Coco,Goiaba,Graviola,Lichia,Limão,Mamão,Manga,Maracujá,Pitaia,Tangerina,Uva,Abóbora,Abóbora italiana,Abóbora japonesa - Tetsukabuto,Abóbora menina,Agrião,Alface,Alho,Batata,Batata-doce,Berinjela,Beterraba,Brócolis - Cabeça Única,Brócolis - Ramoso,Cebola,Cebolinha,Cenoura,Chuchu,Coentro,Couve,Couve-flor,Gengibre,Jiló,Mandioca,Milho doce,Milho-verde,Morango,Pepino,Pimentão,Quiabo,Repolho,Tomate
alexandre gusmão,V,V,V,F,F,V,V,F,V,F,V,V,F,V,V,F,F,F,F,F,V,F,F,F,F,F,V,V,F,V,F,V,F,V,F,F,F,V,F,F,F,F,V,F,V,V
brazlândia,V,V,V,V,F,V,F,F,V,F,V,V,F,V,V,F,V,F,F,F,V,F,F,F,F,F,V,F,F,F,F,V,F,V,F,F,F,V,F,F,V,F,V,F,V,V
ceilândia,V,F,V,F,V,V,F,F,V,F,V,V,F,V,F,F,F,F,F,F,V,F,F,V,F,F,V,V,F,F,F,V,F,V,F,F,F,V,F,V,F,F,F,F,V,V
gama,V,F,V,F,F,F,F,V,V,F,V,V,V,V,F,F,F,F,F,F,V,F,F,F,F,F,V,V,F,V,F,F,V,V,F,F,F,V,F,V,F,F,V,F,V,F
jardim,V,F,V,F,F,V,V,F,V,V,F,V,F,V,F,F,F,V,F,F,F,F,F,V,V,V,F,F,V,F,V,F,F,F,F,F,F,V,F,F,F,F,V,F,V,V
pad-df,V,F,V,F,F,F,F,F,V,V,V,V,F,V,V,F,F,F,F,F,V,F,F,F,V,F,F,F,V,F,V,F,F,F,F,F,F,V,V,F,F,V,V,F,V,V
paranoá,V,F,V,F,F,V,F,F,V,F,V,V,F,V,V,F,F,F,F,F,V,F,F,F,V,V,F,F,F,F,F,V,F,F,F,F,F,V,F,V,F,F,V,V,V,V
pipiripau,V,F,V,F,F,V,F,V,V,F,F,V,V,V,V,V,V,F,F,F,F,F,V,F,V,F,F,F,F,F,V,V,F,F,F,F,F,V,F,F,F,V,V,F,F,V
planaltina,V,F,V,F,F,V,F,V,V,F,V,V,F,V,V,F,F,F,F,F,V,F,F,V,F,F,F,F,F,V,F,V,F,V,F,F,F,V,F,V,F,F,V,F,V,V
rio preto,V,F,V,F,F,F,V,F,V,F,V,V,V,V,F,V,F,V,F,F,F,V,F,V,F,V,F,F,F,F,V,F,F,F,F,F,F,V,F,F,F,F,V,F,V,V
sobradinho,V,F,V,F,F,F,F,F,V,F,V,V,F,V,V,F,F,F,F,F,V,F,F,F,V,F,F,V,F,F,F,V,F,V,V,F,F,V,F,F,F,F,V,F,V,V
são sebastião,V,F,V,F,F,F,F,F,V,F,V,V,V,V,F,V,F,F,F,V,V,F,F,F,F,F,F,F,V,F,F,F,F,V,F,F,F,V,F,F,V,F,F,V,V,V
tabatinga,V,F,V,F,F,V,F,F,V,F,V,V,V,V,V,F,F,V,F,F,F,F,F,V,F,V,F,F,V,F,V,V,F,F,F,F,V,V,F,F,F,F,F,F,V,V
taquara,V,F,V,F,F,F,F,F,V,F,V,V,V,V,F,F,V,F,V,F,F,F,F,F,V,F,F,F,F,F,F,V,F,F,V,F,F,V,F,F,F,V,V,F,V,V
vargem bonita,V,F,V,F,F,F,F,F,V,F,V,V,V,V,V,F,F,F,F,F,V,F,F,F,F,F,V,V,F,V,F,F,F,V,F,V,F,V,F,V,F,F,V,F,V,F
