Cidade,Produto,Quantidade
Alexandre Gusmão,Alface,139
Alexandre Gusmão,Mandioca,220
Alexandre Gusmão,Brócolis - Cabeça Única,155
Alexandre Gusmão,Repolho,58
Alexandre Gusmão,Couve,112
Alexandre Gusmão,Cebolinha,110
Alexandre Gusmão,Tomate,74
Alexandre Gusmão,Chuchu,64
Alexandre Gusmão,Brócolis - Ramoso,53
Alexandre Gusmão,Pimentão,65
Brazlândia,Morango,435
Brazlândia,Alface,116
Brazlândia,Repolho,146
Brazlândia,Abóbora italiana,205
Brazlândia,Mandioca,209
Brazlândia,Brócolis - Cabeça Única,205
Brazlândia,Chuchu,85
Brazlândia,Tomate,109
Brazlândia,Pimentão,74
Brazlândia,Couve,73
Ceilândia,Alface,154
Ceilândia,Mandioca,338
Ceilândia,Milho-verde,89
Ceilândia,Brócolis - Cabeça Única,71
Ceilândia,Repolho,52
Ceilândia,Brócolis - Ramoso,76
Ceilândia,Batata-doce,31
Ceilândia,Chuchu,48
Ceilândia,Couve,89
Ceilândia,Tomate,34
Gama,Alface,53
Gama,Mandioca,174
Gama,Milho-verde,65
Gama,Coentro,39
Gama,Brócolis - Cabeça Única,27
Gama,Couve,35
Gama,Cebolinha,42
Gama,Brócolis - Ramoso,18
Gama,Repolho,14
Gama,Pimentão,17
Jardim,Cenoura,16
Jardim,Cebola,7
Jardim,Abóbora japonesa - Tetsukabuto,24
Jardim,Tomate,23
Jardim,Beterraba,11
Jardim,Batata-doce,21
Jardim,Mandioca,24
Jardim,Repolho,28
Jardim,Pimentão,13
Jardim,Berinjela,29
PAD-DF,Tomate,60
PAD-DF,Milho doce,3
PAD-DF,Cenoura,3
PAD-DF,Cebola,1
PAD-DF,Pepino,73
PAD-DF,Mandioca,161
PAD-DF,Alface,30
PAD-DF,Pimentão,60
PAD-DF,Repolho,29
PAD-DF,Berinjela,33
Paranoá,Alface,64
Paranoá,Milho-verde,20
Paranoá,Mandioca,76
Paranoá,Beterraba,2
Paranoá,Tomate,13
Paranoá,Quiabo,15
Paranoá,Pimentão,11
Paranoá,Repolho,7
Paranoá,Berinjela,8
Paranoá,Chuchu,4
Pipiripau,Batata,2
Pipiripau,Mandioca,75
Pipiripau,Tomate,36
Pipiripau,Pimentão,48
Pipiripau,Abóbora,39
Pipiripau,Cenoura,3
Pipiripau,Pepino,32
Pipiripau,Abóbora italiana,25
Pipiripau,Berinjela,13
Pipiripau,Chuchu,5
Planaltina,Milho-verde,129
Planaltina,Mandioca,214
Planaltina,Batata-doce,52
Planaltina,Tomate,57
Planaltina,Alface,89
Planaltina,Cebolinha,49
Planaltina,Repolho,39
Planaltina,Pimentão,35
Planaltina,Chuchu,12
Planaltina,Couve,60
Rio Preto,Alho,3
Rio Preto,Mandioca,57
Rio Preto,Abóbora japonesa - Tetsukabuto,18
Rio Preto,Batata-doce,28
Rio Preto,Beterraba,12
Rio Preto,Abóbora,42
Rio Preto,Tomate,56
Rio Preto,Pimentão,44
Rio Preto,Cenoura,9
Rio Preto,Repolho,27
São Sebastião,Cebola,5
São Sebastião,Mandioca,270
São Sebastião,Alface,52
São Sebastião,Abóbora,32
São Sebastião,Morango,13
São Sebastião,Quiabo,25
São Sebastião,Couve,46
São Sebastião,Tomate,17
São Sebastião,Agrião,6
São Sebastião,Repolho,11
Sobradinho,Mandioca,221
Sobradinho,Alface,120
Sobradinho,Repolho,40
Sobradinho,Brócolis - Ramoso,24
Sobradinho,Tomate,28
Sobradinho,Couve,50
Sobradinho,Couve-flor,14
Sobradinho,Berinjela,28
Sobradinho,Pimentão,34
Sobradinho,Chuchu,13
Tabatinga,Batata-doce,12
Tabatinga,Mandioca,9
Tabatinga,Cenoura,6
Tabatinga,Cebola,2
Tabatinga,Abóbora japonesa - Tetsukabuto,8
Tabatinga,Beterraba,3
Tabatinga,Jiló,4
Tabatinga,Repolho,6
Tabatinga,Chuchu,1
Tabatinga,Tomate,1
Taquara,Mandioca,62
Taquara,Abóbora menina,16
Taquara,Pimentão,87
Taquara,Tomate,85
Taquara,Abóbora italiana,54
Taquara,Berinjela,44
Taquara,Pepino,43
Taquara,Couve-flor,19
Taquara,Repolho,18
Taquara,Chuchu,9
Vargem Bonita,Alface,86
Vargem Bonita,Mandioca,106
Vargem Bonita,Milho-verde,40
Vargem Bonita,Gengibre,25
Vargem Bonita,Couve,74
Vargem Bonita,Brócolis - Cabeça Única,38
Vargem Bonita,Repolho,39
Vargem Bonita,Cebolinha,68
Vargem Bonita,Brócolis - Ramoso,37
Vargem Bonita,Pimentão,13
