Nome,Região,Latitude,Longitude,Abacate,Atemóia,Banana,Cajamanga,Coco,Goiaba,Graviola,Lichia,Limão,Mamão,Manga,Maracujá,Pitaia,Tangerina,Uva,Abóbora,Abóbora italiana,Abóbora japonesa - Tetsukabuto,Abóbora menina,Agrião,Alface,Alho,Batata,Batata-doce,Berinjela,Beterraba,Brócolis - Cabeça Única,Brócolis - Ramoso,Cebola,Cebolinha,Cenoura,Chuchu,Coentro,Couve,Couve-flor,Gengibre,Jiló,Mandioca,Milho doce,Milho-verde,Morango,Pepino,Pimentão,Quiabo,Repolho,Tomate
associação de Agricultores Familiares da Eco Comunidade do Assentamento 15 de Agosto (Afeca),são sebastião,-15.91117477568832,-47.72142914924957,V,F,V,F,F,F,F,F,V,F,V,V,V,V,F,V,F,F,F,V,V,F,F,F,F,F,F,F,V,F,F,F,F,V,F,F,F,V,F,F,V,F,F,V,V,V
Associação Agrícola do Distrito Federal e Ride (Agrifam),"taguatinga, vargem bonita",-15.831,-48.056,V,F,V,F,F,F,F,F,V,F,V,V,V,V,V,F,F,F,F,F,V,F,F,F,F,F,V,V,F,V,F,F,F,V,F,V,F,V,F,V,F,F,V,F,V,F
"Associação Mista dos Agricultores Familiares, Orgânicos e Produtores Rurais do DF e Entorno (Amista)",gama,-15.794,-47.93,V,F,V,F,F,F,F,V,V,F,V,V,V,V,F,F,F,F,F,F,V,F,F,F,F,F,V,V,F,V,F,F,V,V,F,F,F,V,F,V,F,F,V,F,V,F
Associação dos Produtores da Agricultura Familiar (Aspaf ),gama,-15.61,-48.2,V,F,V,F,F,F,F,V,V,F,V,V,V,V,F,F,F,F,F,F,V,F,F,F,F,F,V,V,F,V,F,F,V,V,F,F,F,V,F,V,F,F,V,F,V,F
Associação dos Produtores Rurais de Alexandre Gusmão (AsSpag),"brazlândia, alexandre gusmão",-15.747628314703643,-48.11713041048713,V,V,V,V,F,V,V,F,V,F,V,V,F,V,V,F,V,F,F,F,V,F,F,F,F,F,V,V,F,V,F,V,F,V,F,F,F,V,F,F,V,F,V,F,V,V
Associação dos Produtores de Hortigranjeiros do Distrito Federal (Asphor),gama,-15.791489057677724,-47.948277524935406,V,F,V,F,F,F,F,V,V,F,V,V,V,V,F,F,F,F,F,F,V,F,F,F,F,F,V,V,F,V,F,F,V,V,F,F,F,V,F,V,F,F,V,F,V,F
Associação dos Produtores do Núcleo Rural Lago Oeste (ASPROESTE),sobradinho,-15.619109134078176,-47.94872798840174,V,F,V,F,F,F,F,F,V,F,V,V,F,V,V,F,F,F,F,F,V,F,F,F,V,F,F,V,F,F,F,V,F,V,V,F,F,V,F,F,F,F,V,F,V,V
Associação dos Produtores Rurais Novo Horizonte Betinho (Aspronte),ceilândia,-15.603462102101528,-48.11337371660706,V,F,V,F,V,V,F,F,V,F,V,V,F,V,F,F,F,F,F,F,V,F,F,V,F,F,V,V,F,F,F,V,F,V,F,F,F,V,F,V,F,F,F,F,V,V
Associação dos Trabalhadores Rurais da Agricultura Familiar do Assentamento Chapadinha (Astraf),Sobradinho,-15.542745521391486,-48.02980085045159,V,F,V,F,F,F,F,F,V,F,V,V,F,V,V,F,F,F,F,F,V,F,F,F,V,F,F,V,F,F,F,V,F,V,V,F,F,V,F,F,F,F,V,F,V,V
Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil,gama,-15.94,-48.02,V,F,V,F,F,F,F,V,V,F,V,V,V,V,F,F,F,F,F,F,V,F,F,F,F,F,V,V,F,V,F,F,V,V,F,F,F,V,F,V,F,F,V,F,V,F
Cooperativa Agrícola Buriti Vermelho (Cooper-Horti),"paranoá, pad-df, jardim",-15.900840116171455,-47.41563678134716,V,F,V,F,F,V,V,F,V,V,V,V,F,V,V,F,F,V,F,F,V,F,F,V,V,V,F,F,V,F,V,V,F,F,F,F,F,V,V,V,F,V,V,V,V,V
Cooperativa dos Produtores Rurais de Planaltina de Goiás e Região (Prorural),"paranoá, pad-df, jardim",-15.445611703837637,-47.6190618576721,V,F,V,F,F,V,V,F,V,V,V,V,F,V,V,F,F,V,F,F,V,F,F,V,V,V,F,F,V,F,V,V,F,F,F,F,F,V,V,V,F,V,V,V,V,V
Cooperativa Agropecuária da Região de Brazlândia (Coopebraz),"brazlândia, taguatinga, alexandre gusmão, vargem bonita",-15.60313666754234,-48.11359575477609,V,V,V,V,F,V,V,F,V,F,V,V,V,V,V,F,V,F,F,F,V,F,F,F,F,F,V,V,F,V,F,V,F,V,F,V,F,V,F,V,V,F,V,F,V,V
Cooperativa de Agricultura Familiar Mista do Distrito Federal (Coopermista),"planaltina, pipiripau, rio preto, taquara, tabatinga, vargem bonita",-15.765031677356465,-47.49332295666603,V,F,V,F,F,V,V,V,V,F,V,V,V,V,V,V,V,V,V,F,V,V,V,V,V,V,V,V,V,V,V,V,F,V,V,V,V,V,F,V,F,V,V,F,V,V
Cooperativa Agrícola da Região de Planaltina (Cootaquara) ,ceilândia,-16.014,-48.0,V,F,V,F,V,V,F,F,V,F,V,V,F,V,F,F,F,F,F,F,V,F,F,V,F,F,V,V,F,F,F,V,F,V,F,F,F,V,F,V,F,F,F,F,V,V
"Cooperativa de Serviços Ambientais, Agricultura Familiar, Sociedade,Cultura e Saúde (CooperBrasilia)","sobradinho, são sebastião",-15.65,-47.8,V,F,V,F,F,F,F,F,V,F,V,V,V,V,V,V,F,F,F,V,V,F,F,F,V,F,F,V,V,F,F,V,F,V,V,F,F,V,F,F,V,F,V,V,V,V
Cooperativa Agroambiental Palmas do Lago Oeste (CooperPalmas),"sobradinho, planaltina, pipiripau, rio preto, taquara, tabatinga, vargem bonita",-15.572147049026992,-48.0142951696709,V,F,V,F,F,V,V,V,V,F,V,V,V,V,V,V,V,V,V,F,V,V,V,V,V,V,V,V,V,V,V,V,F,V,V,V,V,V,F,V,F,V,V,F,V,V
